Level 8, Oh 1.0e-02, Oha 1.0e-04, De 1.0e+01, Ec 2.5e-01
i dt t ke ymin
0 6.23652e-06 0 0 0.500005
1 6.23652e-06 6.23652e-06 1.3801e-08 0.500005
2 0.000150141 0.000156377 1.21691e-06 0.500005
3 0.000275811 0.000432188 7.05725e-06 0.500005
4 0.000390462 0.00082265 2.46165e-05 0.500005
5 0.00049342 0.00131607 6.00859e-05 0.500005
6 0.000587404 0.00190347 0.000117637 0.500005
7 0.000671894 0.00257537 0.000197139 0.500005
8 0.00074942 0.00332479 0.000294686 0.500005
9 0.000819281 0.00414407 0.000400648 0.500004
10 0.000887555 0.00503163 0.0005087 0.500004
11 0.000940281 0.00597191 0.000611768 0.500004
12 0.0010003 0.0069722 0.000709433 0.500004
13 0.00104526 0.00801746 0.000801686 0.500004
14 0.00108215 0.00909961 0.000890734 0.500004
15 0.00112223 0.0102218 0.000978618 0.500003
16 0.00116595 0.0113878 0.00106678 0.500003
17 0.00119746 0.0125852 0.00115456 0.500002
18 0.00123119 0.0138164 0.00124226 0.500002
19 0.00124904 0.0150655 0.0013287 0.500001
20 0.00126768 0.0163332 0.0014138 0.500001
21 0.00130729 0.0176405 0.00149925 0.5
22 0.00132838 0.0189688 0.00158458 0.499999
23 0.00132838 0.0202972 0.00166887 0.499999
24 0.00135089 0.0216481 0.00175352 0.499998
25 0.00137459 0.0230227 0.00183837 0.499997
26 0.00137459 0.0243973 0.00192181 0.499996
27 0.00140005 0.0257973 0.00200467 0.499995
28 0.00140005 0.0271974 0.00208538 0.499994
29 0.0014275 0.0286249 0.00216503 0.499993
30 0.0014275 0.0300524 0.00224199 0.499991
31 0.0014275 0.0314799 0.00231625 0.49999
32 0.0014275 0.0329074 0.0023875 0.499989
33 0.00145853 0.0343659 0.00245674 0.499987
34 0.00145853 0.0358245 0.00252167 0.499986
35 0.00145853 0.037283 0.00258808 0.499984
36 0.00145853 0.0387415 0.00265331 0.499982
37 0.00145853 0.0402001 0.00271704 0.499981
38 0.00145853 0.0416586 0.00277899 0.499979
39 0.00145853 0.0431171 0.00283943 0.499977
40 0.00149692 0.0446141 0.00290025 0.499975
41 0.00149692 0.046111 0.00296004 0.499973
42 0.00149692 0.0476079 0.00301892 0.499971
43 0.00149692 0.0491048 0.00307698 0.499969
44 0.00149692 0.0506017 0.00313438 0.499966
45 0.00149692 0.0520987 0.00319135 0.499964
46 0.00149692 0.0535956 0.00324814 0.499962
47 0.00149692 0.0550925 0.00330504 0.499959
48 0.00149692 0.0565894 0.00336231 0.499957
49 0.00149692 0.0580863 0.00342027 0.499954
50 0.00149692 0.0595832 0.00347886 0.499951
51 0.00149692 0.0610802 0.00353812 0.499949
52 0.00149692 0.0625771 0.00359793 0.499946
53 0.00149692 0.064074 0.0036582 0.499943
54 0.00149692 0.0655709 0.00371937 0.49994
55 0.00149692 0.0670678 0.00378044 0.499937
56 0.00149692 0.0685647 0.00384135 0.499934
57 0.00149692 0.0700617 0.00390217 0.499931
58 0.00149692 0.0715586 0.00396286 0.499927
59 0.00149692 0.0730555 0.00402333 0.499924
60 0.00149692 0.0745524 0.00408339 0.499921
61 0.00149692 0.0760493 0.00414299 0.499917
62 0.00149692 0.0775462 0.00420319 0.499914
63 0.00149692 0.0790432 0.00426141 0.49991
64 0.00149692 0.0805401 0.00431897 0.499907
65 0.00149692 0.082037 0.00437584 0.499903
66 0.00149692 0.0835339 0.00443193 0.499899
67 0.00149692 0.0850308 0.0044872 0.499896
68 0.00149692 0.0865277 0.00454161 0.499892
69 0.00149692 0.0880247 0.00459504 0.499888
70 0.00149692 0.0895216 0.00464736 0.499884
71 0.00149692 0.0910185 0.0046992 0.49988
72 0.00149692 0.0925154 0.00475078 0.499875
73 0.00149692 0.0940123 0.00480215 0.499871
74 0.00149692 0.0955092 0.00485336 0.499867
75 0.00149692 0.0970062 0.00490457 0.499862
76 0.00149692 0.0985031 0.00495586 0.499858
77 0.00149692 0.1 0.00500731 0.499854
78 0.00151515 0.101515 0.0050595 0.499849
79 0.00151515 0.10303 0.00511198 0.499844
80 0.00151515 0.104545 0.00516478 0.499839
81 0.00151515 0.106061 0.00521792 0.499835
82 0.00151515 0.107576 0.00527136 0.49983
83 0.00151515 0.109091 0.00532521 0.499825
84 0.00151515 0.110606 0.00537945 0.49982
85 0.00151515 0.112121 0.00543387 0.499815
86 0.00151515 0.113636 0.00548854 0.499809
87 0.00151515 0.115152 0.00554351 0.499804
88 0.00151515 0.116667 0.00559878 0.499799
89 0.00151515 0.118182 0.00565434 0.499793
90 0.00151515 0.119697 0.00571014 0.499788
91 0.00151515 0.121212 0.00576614 0.499782
92 0.00151515 0.122727 0.00582222 0.499777
93 0.00151515 0.124242 0.00587833 0.499771
94 0.00151515 0.125758 0.00593437 0.499765
95 0.00151515 0.127273 0.00599024 0.49976
96 0.00151515 0.128788 0.00604584 0.499754
97 0.00151515 0.130303 0.00610116 0.499748
98 0.00151515 0.131818 0.00615613 0.499742
99 0.00151515 0.133333 0.00621078 0.499736
100 0.00151515 0.134848 0.00626489 0.499729
101 0.00151515 0.136364 0.00631878 0.499723
102 0.00151515 0.137879 0.00637265 0.499717
103 0.00151515 0.139394 0.00642661 0.499711
104 0.00151515 0.140909 0.00648065 0.499704
105 0.00151515 0.142424 0.00653481 0.499698
106 0.00151515 0.143939 0.00658908 0.499691
107 0.00151515 0.145455 0.0066435 0.499684
108 0.00151515 0.14697 0.00669808 0.499678
109 0.00151515 0.148485 0.00675284 0.499671
110 0.00151515 0.15 0.00680779 0.499664
111 0.00151515 0.151515 0.00686511 0.499657
112 0.00151515 0.15303 0.00691854 0.49965
113 0.00151515 0.154545 0.00697385 0.499643
114 0.00151515 0.156061 0.00703023 0.499636
115 0.00151515 0.157576 0.00708637 0.499629
116 0.00151515 0.159091 0.007143 0.499622
117 0.00151515 0.160606 0.00720002 0.499614
118 0.00151515 0.162121 0.00725742 0.499607
119 0.00151515 0.163636 0.00731509 0.499599
120 0.00151515 0.165152 0.00737302 0.499592
121 0.00151515 0.166667 0.00743133 0.499584
122 0.00151515 0.168182 0.00749 0.499577
123 0.00151515 0.169697 0.00754899 0.499569
124 0.00151515 0.171212 0.0076082 0.499561
125 0.00151515 0.172727 0.00766759 0.499553
126 0.00151515 0.174242 0.00772708 0.499545
127 0.00151515 0.175758 0.00778663 0.499537
128 0.00151515 0.177273 0.00784621 0.499529
129 0.00151515 0.178788 0.00790579 0.499521
130 0.00151515 0.180303 0.00796485 0.499513
131 0.00151515 0.181818 0.00802438 0.499504
132 0.00151515 0.183333 0.00808388 0.499496
133 0.00151515 0.184848 0.0081434 0.499488
134 0.00151515 0.186364 0.00820297 0.499479
135 0.00151515 0.187879 0.00826264 0.499471
136 0.00151515 0.189394 0.00832605 0.499462
137 0.00151515 0.190909 0.00838523 0.499453
138 0.00151515 0.192424 0.00844492 0.499444
139 0.00151515 0.193939 0.00850485 0.499436
140 0.00151515 0.195455 0.00856503 0.499427
141 0.00151515 0.19697 0.00862541 0.499418
142 0.00151515 0.198485 0.00868604 0.499409
143 0.00151515 0.2 0.00874691 0.4994
144 0.00151515 0.201515 0.00880807 0.49939
145 0.00151515 0.20303 0.00886953 0.499381
146 0.00151515 0.204545 0.0089313 0.499372
147 0.00151515 0.206061 0.00899323 0.499362
148 0.00151515 0.207576 0.0090555 0.499353
149 0.00151515 0.209091 0.00911815 0.499343
150 0.00151515 0.210606 0.00918114 0.499334
151 0.00151515 0.212121 0.00924448 0.499324
152 0.00151515 0.213636 0.00930817 0.499314
153 0.00151515 0.215152 0.00937222 0.499305
154 0.00151515 0.216667 0.00943661 0.499295
155 0.00151515 0.218182 0.00950128 0.499285
156 0.00151515 0.219697 0.00956613 0.499275
157 0.00151515 0.221212 0.00963117 0.499265
158 0.00151515 0.222727 0.00969648 0.499255
159 0.00151515 0.224242 0.00976205 0.499244
160 0.00151515 0.225758 0.00982788 0.499234
161 0.00151515 0.227273 0.00989393 0.499224
162 0.00151515 0.228788 0.0099602 0.499213
163 0.00151515 0.230303 0.0100267 0.499203
164 0.00151515 0.231818 0.0100933 0.499192
165 0.00151515 0.233333 0.0101601 0.499181
166 0.00151515 0.234848 0.0102271 0.499171
167 0.00151515 0.236364 0.0102942 0.49916
168 0.00151515 0.237879 0.0103614 0.499149
169 0.00151515 0.239394 0.0104289 0.499138
170 0.00151515 0.240909 0.0104965 0.499127
171 0.00151515 0.242424 0.0105642 0.499116
172 0.00151515 0.243939 0.0106324 0.499105
173 0.00151515 0.245455 0.0107007 0.499094
174 0.00151515 0.24697 0.0107693 0.499082
175 0.00151515 0.248485 0.0108381 0.499071
176 0.00151515 0.25 0.0109068 0.49906
177 0.00151515 0.251515 0.0109761 0.499048
178 0.00151515 0.25303 0.0110455 0.499037
179 0.00151515 0.254545 0.0111153 0.499025
180 0.00151515 0.256061 0.0111853 0.499013
181 0.00151515 0.257576 0.0112557 0.499001
182 0.00151515 0.259091 0.0113265 0.49899
183 0.00151515 0.260606 0.0113977 0.498978
184 0.00151515 0.262121 0.0114693 0.498966
185 0.00151515 0.263636 0.0115489 0.498954
186 0.00151515 0.265152 0.0116211 0.498942
187 0.00151515 0.266667 0.0116939 0.498929
188 0.00151515 0.268182 0.0117671 0.498917
189 0.00151515 0.269697 0.0118407 0.498905
190 0.00151515 0.271212 0.0119147 0.498892
191 0.00151515 0.272727 0.011989 0.49888
192 0.00151515 0.274242 0.0120637 0.498867
193 0.00151515 0.275758 0.0121387 0.498855
